,status_kep_rumah,penghasilan_utm_ayah,penghasilan_tmbh_ayah,penghasilan_utm_ibu,penghasilan_tmbh_ibu,pajak_r2,pajak_r4,daya_listrik,pbb,skor_ukt,ukt_sebelum_sanggah
0,0,0,0,0,0,0.0,0.0,0,0.0,2.65,3.0
1,0,6,0,0,0,3.0,0.0,3,0.0,4.79,4.0
2,1,8,0,0,0,4.0,0.0,3,0.0,5.61,5.0
3,0,0,1,4,1,4.0,0.0,2,0.0,4.81,4.0
4,1,10,0,10,0,2.0,1.0,4,0.0,7.87,7.0
5,1,0,0,10,0,4.0,0.0,2,1.0,5.74,5.0
6,0,7,0,0,0,3.0,0.0,2,0.0,5.14,4.0
7,1,6,0,0,0,4.0,0.0,2,1.0,5.1,4.0
8,0,0,0,7,0,1.0,0.0,1,0.0,4.27,4.0
9,1,5,0,0,0,2.0,0.0,3,1.0,5.1,4.0
10,1,8,0,0,0,2.0,0.0,4,0.0,5.61,5.0
11,1,5,0,8,5,4.0,3.0,0,1.0,6.53,6.0
12,1,11,0,0,0,4.0,2.0,3,0.0,6.91,6.0
13,1,0,0,0,0,4.0,0.0,3,0.0,4.83,4.0
14,0,2,0,0,0,2.0,0.0,4,0.0,4.34,4.0
15,0,9,0,7,0,5.0,4.0,4,0.0,7.8,7.0
16,1,7,0,0,0,4.0,0.0,3,1.0,5.53,5.0
17,1,0,0,9,0,5.0,3.0,4,4.0,7.23,6.0
18,1,7,0,0,6,4.0,0.0,4,0.0,7.52,6.0
19,0,7,0,0,0,1.0,0.0,2,0.0,5.14,4.0
20,1,7,0,0,0,0.0,2.0,5,7.0,6.57,6.0
21,1,7,0,0,0,1.0,0.0,3,0.0,5.57,5.0
22,1,11,0,0,0,2.0,0.0,3,1.0,7.39,6.0
23,1,11,0,10,0,2.0,3.0,4,2.0,10.0,8.0
24,1,7,0,8,0,0.0,0.0,3,0.0,6.18,5.0
25,0,11,0,0,0,2.0,2.0,4,0.0,6.57,6.0
26,1,5,0,0,0,2.0,0.0,2,1.0,4.75,4.0
27,1,7,0,8,0,4.0,2.0,3,3.0,7.88,7.0
28,1,8,0,0,0,6.0,4.0,4,0.0,7.09,6.0
29,1,7,0,0,0,2.0,0.0,3,1.0,5.27,5.0
30,1,10,0,0,0,5.0,2.0,3,0.0,6.91,6.0
31,1,0,0,3,0,3.0,0.0,4,1.0,4.96,4.0
32,0,9,0,0,0,2.0,0.0,2,0.0,5.66,5.0
33,0,7,2,0,0,2.0,0.0,0,0.0,3.94,4.0
34,1,0,0,6,0,2.0,0.0,3,1.0,5.1,4.0
35,1,3,0,9,0,4.0,0.0,3,1.0,6.23,5.0
36,0,6,0,0,0,0.0,0.0,3,0.0,4.7,4.0
37,1,8,0,8,0,4.0,4.0,3,1.0,8.09,7.0
38,1,10,0,0,0,4.0,3.0,3,0.0,7.09,6.0
39,1,6,0,0,0,2.0,3.0,3,1.0,6.31,5.0
40,1,10,0,0,0,2.0,2.0,3,2.0,6.7,6.0
41,0,7,0,0,0,2.0,0.0,2,0.0,4.79,4.0
42,0,7,0,0,0,4.0,0.0,0,0.0,4.18,4.0
43,1,0,0,10,0,3.0,0.0,4,0.0,5.96,5.0
44,1,6,0,0,0,7.0,1.0,1,1.0,5.88,5.0
45,1,9,0,0,0,4.0,2.0,4,2.0,7.1,6.0
46,1,8,0,0,0,4.0,0.0,2,1.0,5.57,5.0
47,1,0,0,6,0,3.0,0.0,3,0.0,5.23,5.0
48,1,12,0,0,0,2.0,0.0,4,2.0,6.04,5.0
49,1,4,0,0,0,2.0,1.0,0,0.0,4.88,4.0
50,0,8,0,0,0,0.0,3.0,8,0.0,6.13,5.0
51,1,7,0,0,0,2.0,0.0,3,1.0,5.44,5.0
52,1,12,0,0,0,3.0,2.0,4,2.0,7.26,6.0
53,0,4,0,0,0,2.0,0.0,3,0.0,4.44,4.0
54,1,7,0,8,0,4.0,1.0,3,0.0,7.49,6.0
55,1,0,0,11,0,6.0,0.0,3,0.0,7.43,6.0
56,1,7,0,0,0,3.0,0.0,3,0.0,5.4,5.0
57,0,6,0,0,0,2.0,0.0,2,0.0,5.14,4.0
58,1,10,0,0,0,4.0,0.0,3,2.0,5.91,5.0
59,1,0,0,9,0,2.0,2.0,4,1.0,6.83,6.0
60,0,7,0,6,0,5.0,0.0,2,0.0,5.71,5.0
61,1,3,0,7,0,5.0,0.0,3,7.0,6.05,5.0
62,0,1,0,6,0,2.0,0.0,2,0.0,10.0,8.0
63,1,6,0,7,0,5.0,0.0,1,0.0,6.19,5.0
64,1,10,0,0,0,5.0,4.0,3,2.0,7.13,6.0
65,1,7,0,7,0,4.0,0.0,3,0.0,6.5,6.0
66,1,0,0,8,0,4.0,0.0,4,1.0,6.0,5.0
67,1,10,0,11,0,1.0,2.0,3,1.0,7.91,7.0
68,1,7,0,0,0,3.0,0.0,3,1.0,7.39,6.0
69,1,8,0,7,0,3.0,0.0,3,0.0,6.62,6.0
70,1,10,0,0,0,2.0,1.0,3,1.0,6.52,6.0
71,1,9,0,0,0,4.0,3.0,4,1.0,7.27,6.0
72,1,9,0,0,0,3.0,3.0,2,1.0,6.83,6.0
73,1,11,0,0,0,3.0,3.0,4,1.0,7.22,6.0
74,1,6,0,0,0,6.0,3.0,3,0.0,6.36,5.0
75,0,9,0,0,0,2.0,0.0,3,0.0,5.31,5.0
76,1,6,0,0,0,5.0,0.0,3,0.0,5.31,5.0
77,1,9,0,8,0,5.0,2.0,0,0.0,7.05,6.0
78,0,0,0,6,0,3.0,0.0,0,0.0,3.92,4.0
79,1,7,0,7,0,0.0,2.0,3,1.0,6.89,6.0
80,0,3,0,3,0,0.0,0.0,0,0.0,5.61,5.0
81,1,7,0,9,0,7.0,0.0,3,6.0,7.23,6.0
82,1,10,0,0,0,3.0,2.0,2,7.0,6.87,6.0
83,1,9,0,11,0,7.0,3.0,0,0.0,7.66,7.0
84,0,10,0,0,0,3.0,2.0,3,0.0,6.22,6.0
85,1,8,0,0,0,3.0,1.0,4,1.0,6.52,6.0
86,1,7,0,0,0,3.0,3.0,3,1.0,8.61,7.0
87,0,8,0,0,0,2.0,0.0,3,0.0,5.0,5.0
88,1,10,0,0,0,5.0,0.0,3,0.0,6.22,6.0
89,1,12,0,0,0,1.0,0.0,2,1.0,5.48,5.0
90,1,12,0,0,0,2.0,2.0,4,2.0,8.65,7.0
91,1,4,0,0,0,3.0,0.0,2,1.0,4.75,5.0
92,1,1,0,0,0,2.0,0.0,1,0.0,3.96,4.0
93,1,5,0,0,0,3.0,0.0,2,1.0,4.92,5.0
94,1,9,0,0,0,2.0,1.0,2,2.0,6.36,6.0
95,1,8,0,2,0,7.0,0.0,0,0.0,5.12,5.0
96,1,8,0,0,0,3.0,0.0,3,3.0,5.74,5.0
97,1,5,0,0,0,2.0,1.0,3,0.0,5.75,5.0
98,1,8,0,0,0,4.0,0.0,2,1.0,5.57,5.0
99,1,7,0,0,0,2.0,0.0,3,0.0,5.4,5.0
100,1,0,0,8,0,2.0,0.0,4,1.0,5.83,5.0
101,0,7,0,0,2,3.0,0.0,2,0.0,4.81,5.0
102,1,7,0,0,0,0.0,0.0,4,1.0,5.18,5.0
103,1,12,0,0,0,5.0,2.0,4,1.0,6.96,6.0
104,1,0,0,0,0,3.0,0.0,3,1.0,7.39,6.0
105,1,9,0,0,0,4.0,2.0,2,1.0,6.57,6.0
106,1,9,0,11,0,5.0,0.0,3,2.0,7.31,6.0
107,1,9,0,0,0,3.0,3.0,5,1.0,7.18,6.0
108,0,8,0,0,0,4.0,0.0,3,0.0,5.26,5.0
109,0,0,0,3,0,0.0,0.0,2,0.0,3.7,4.0
110,1,11,0,0,0,7.0,0.0,3,1.0,6.0,5.0
111,0,7,0,0,0,4.0,0.0,3,0.0,4.97,5.0
112,1,7,0,0,0,3.0,0.0,3,0.0,5.4,5.0
113,1,10,0,0,0,5.0,0.0,4,1.0,6.09,6.0
114,0,9,0,0,0,3.0,0.0,2,0.0,5.14,5.0
115,1,8,0,7,0,5.0,2.0,3,1.0,7.62,7.0
116,0,0,0,8,0,2.0,0.0,3,0.0,5.0,5.0
117,1,9,0,0,0,4.0,0.0,2,1.0,5.62,5.0
118,1,6,0,6,0,2.0,0.0,3,0.0,6.06,5.0
119,1,6,0,0,0,4.0,0.0,3,0.0,5.31,5.0
120,1,10,0,0,0,2.0,0.0,3,0.0,5.96,5.0
121,1,9,0,0,0,7.0,0.0,3,0.0,10.0,8.0
122,0,7,0,0,0,1.0,0.0,2,0.0,5.14,5.0
123,1,7,1,0,0,6.0,1.0,3,1.0,6.23,6.0
124,1,5,0,3,0,4.0,0.0,2,1.0,5.36,5.0
125,0,10,0,0,0,4.0,0.0,3,0.0,5.35,5.0
126,1,11,0,0,0,2.0,0.0,3,2.0,5.7,5.0
127,1,6,0,0,0,4.0,0.0,2,1.0,6.75,6.0
128,1,2,0,11,0,1.0,2.0,1,1.0,6.38,6.0
129,0,0,0,6,0,3.0,0.0,0,0.0,10.0,8.0
130,1,7,0,0,0,5.0,0.0,4,3.0,5.79,5.0
131,1,5,0,9,0,2.0,0.0,4,1.0,6.97,6.0
132,1,9,0,0,0,5.0,4.0,3,1.0,6.23,6.0
133,1,4,0,0,0,3.0,0.0,3,2.0,4.92,5.0
134,1,12,0,0,0,4.0,3.0,4,3.0,7.39,6.0
135,1,9,0,0,0,5.0,0.0,3,3.0,5.97,5.0
136,1,8,0,0,0,1.0,0.0,4,1.0,5.65,5.0
137,0,8,0,9,0,0.0,0.0,2,0.0,5.92,5.0
138,1,10,0,0,0,2.0,0.0,4,1.0,7.57,6.0
139,0,6,0,0,0,2.0,0.0,2,0.0,6.74,6.0
140,1,7,0,0,0,1.0,0.0,3,0.0,5.23,5.0
141,0,7,0,0,0,2.0,0.0,2,0.0,4.62,4.0
142,0,7,0,7,0,2.0,0.0,3,0.0,6.32,5.0
143,1,0,0,0,0,2.0,0.0,2,1.0,7.22,6.0
144,0,4,0,0,0,0.0,0.0,3,0.0,4.01,4.0
145,1,7,0,0,0,3.0,0.0,1,1.0,4.92,4.0
146,1,4,0,0,0,2.0,0.0,3,0.0,4.88,4.0
147,1,7,0,8,0,3.0,0.0,4,3.0,6.92,6.0
148,1,0,0,4,2,2.0,0.0,5,2.0,5.33,5.0
149,0,12,0,0,0,4.0,0.0,3,0.0,10.0,8.0
150,1,8,0,0,0,2.0,1.0,3,1.0,6.52,6.0
151,1,6,0,0,0,2.0,0.0,2,1.0,5.1,4.0
152,1,7,0,0,0,3.0,0.0,3,0.0,5.4,5.0
153,1,0,0,9,0,3.0,1.0,2,1.0,6.49,6.0
154,1,4,0,2,4,0.0,0.0,3,1.0,4.73,4.0
155,0,0,0,2,0,2.0,0.0,3,0.0,3.99,4.0
156,1,9,0,0,0,4.0,2.0,3,3.0,7.18,6.0
157,0,0,0,6,0,0.0,0.0,0,0.0,3.49,3.0
158,1,7,3,1,0,2.0,0.0,4,0.0,5.86,5.0
159,1,6,0,0,0,3.0,0.0,5,2.0,5.62,5.0
160,1,12,0,0,0,2.0,0.0,3,1.0,5.65,5.0
161,1,0,5,0,0,2.0,0.0,4,0.0,4.61,4.0
162,1,4,0,1,0,3.0,0.0,2,2.0,4.88,4.0
163,0,6,0,0,0,2.0,0.0,3,0.0,5.14,4.0
164,0,11,0,0,0,0.0,0.0,3,0.0,10.0,8.0
165,1,0,0,7,0,3.0,0.0,3,1.0,5.44,4.0
166,1,0,8,0,0,2.0,2.0,2,0.0,7.87,6.0
167,1,12,0,0,0,2.0,7.0,4,3.0,7.65,6.0
168,0,9,0,0,0,2.0,3.0,4,0.0,6.53,5.0
169,0,7,2,2,0,4.0,0.0,2,0.0,5.1,4.0
170,1,10,0,0,0,2.0,3.0,3,1.0,6.87,6.0
171,0,12,0,0,0,0.0,6.0,4,0.0,6.65,5.0
172,1,11,0,0,0,4.0,3.0,4,2.0,7.17,6.0
173,1,6,0,0,0,2.0,0.0,1,1.0,4.75,4.0
174,1,12,0,10,0,5.0,5.0,5,1.0,9.39,8.0
175,1,12,0,0,0,2.0,3.0,8,0.0,8.43,7.0
176,1,11,0,7,0,7.0,3.0,4,0.0,8.36,7.0
177,1,11,0,11,0,5.0,4.0,4,2.0,8.74,7.0
178,0,8,0,7,0,2.0,0.0,4,0.0,7.18,6.0
179,1,7,0,0,0,2.0,0.0,3,1.0,5.44,4.0
180,1,0,0,2,2,0.0,0.0,3,4.0,4.36,4.0
181,1,12,0,0,0,0.0,3.0,6,7.0,7.22,6.0
182,1,11,0,0,0,2.0,3.0,4,3.0,7.3,6.0
183,0,7,0,0,0,1.0,0.0,2,0.0,5.44,4.0
184,1,0,0,2,0,0.0,0.0,4,1.0,7.13,6.0
185,1,0,0,8,0,3.0,3.0,4,1.0,6.87,6.0
186,1,8,0,8,4,4.0,1.0,2,1.0,7.51,6.0
187,0,9,0,8,0,7.0,0.0,3,0.0,7.7,6.0
188,1,12,0,0,0,0.0,3.0,4,3.0,6.7,5.0
189,1,11,0,9,0,6.0,2.0,4,2.0,8.49,7.0
190,1,12,0,0,0,6.0,3.0,2,2.0,6.78,5.0
191,1,7,11,0,0,0.0,5.0,5,7.0,7.18,6.0
192,1,12,0,0,0,2.0,1.0,4,2.0,6.39,5.0
193,0,11,0,10,0,0.0,2.0,4,0.0,7.7,6.0
194,1,10,0,8,0,0.0,1.0,6,1.0,7.83,6.0
195,1,11,0,7,0,0.0,3.0,5,4.0,7.92,6.0
196,1,8,0,0,0,3.0,1.0,2,1.0,6.35,5.0
197,1,8,0,8,0,2.0,3.0,2,1.0,7.91,6.0
198,1,5,0,7,0,4.0,3.0,2,1.0,6.97,6.0
199,1,7,0,7,0,1.0,1.0,2,1.0,6.97,6.0
200,1,8,0,0,0,0.0,7.0,5,5.0,7.3,6.0
201,1,12,0,0,0,0.0,7.0,9,7.0,7.65,6.0
202,0,8,0,0,0,0.0,0.0,1,0.0,4.22,4.0
203,0,9,0,0,0,0.0,3.0,2,0.0,5.75,5.0
204,1,8,0,9,0,4.0,3.0,3,0.0,8.1,6.0
205,1,8,0,0,0,7.0,1.0,3,1.0,6.78,5.0
206,1,9,0,0,0,0.0,0.0,4,1.0,5.53,5.0
207,1,12,0,0,0,6.0,0.0,4,0.0,6.04,5.0
208,1,12,0,0,0,2.0,4.0,4,1.0,7.22,6.0
209,0,5,0,0,0,3.0,0.0,0,0.0,4.57,4.0
210,0,10,11,0,0,5.0,3.0,3,0.0,6.74,5.0
211,1,7,0,7,0,2.0,1.0,2,1.0,7.15,6.0
212,1,11,0,0,0,3.0,3.0,3,0.0,6.83,5.0
213,1,8,0,9,0,6.0,0.0,3,1.0,7.18,6.0
214,1,10,0,0,0,0.0,2.0,9,7.0,7.13,6.0
215,1,6,0,0,0,4.0,0.0,3,1.0,5.36,4.0
216,1,10,0,0,0,2.0,2.0,5,2.0,7.22,6.0
217,1,8,0,5,0,1.0,1.0,4,1.0,10.0,8.0
